code_nsf,code_scolarite,sigle_type_formation,libelle_type_formation,libelle_formation_principal,sigle_formation,duree,niveau_de_sortie_indicatif,code_rncp,niveau_de_certification,libelle_niveau_de_certification,tutelle,url_et_id_onisep,domainesous-domaine
333,,,préparation à l'agrégation,préparation à l'agrégation de lettres modernes,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1913,"lettres, langues, enseignement/enseignement | lettres, langues, enseignement/lettres, linguistique"
336,32033611,BTS,brevet de technicien supérieur,"BTS métiers de l'esthétique, de la cosmétique et de la parfumerie option C cosmétologie",MECP,2 ans,bac + 2,37375,3,niveau 5,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.8498,"sciences/chimie | santé, social, sport/esthétique"
255,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École polytechnique universitaire de l'université d'Orléans spécialité génie physique et systèmes embarqués,Polytech,3 ans,bac + 5,38213,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.5667,"électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | sciences/physique"
251,,,diplôme d'ingénieur,diplôme d'ingénieur de l'Institut national des sciences appliquées de Lyon spécialité génie industriel,INSA,3 ans,bac + 5,36104,1,niveau 7,Ministère de l'Enseignement supérieur et de la Recherche,https://www.onisep.fr/http/redirection/formation/slug/FOR.6001,"mécanique/aéronautique | mécanique/automatismes | matières premières, fabrication, industries/fonction production (généralités) | matières premières, fabrication, industries/génie industriel | matières premières, fabrication, industries/méthodes industrialisation"
315,26X31531,,formation d'école spécialisée,consultant en recrutement des agences d'emploi,,3 ans,bac + 3,37072,2,niveau 6,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.10269,"gestion des entreprises, comptabilité/ressources humaines"
227,46M22701,BTM,brevet technique des métiers,BTM technicien en systèmes de génie climatique et systèmes sanitaires option maintenance,,2 ans,bac ou équivalent,36660,4,niveau 4,Chambres de métiers et de l'artisanat,https://www.onisep.fr/http/redirection/formation/slug/FOR.8189,"environnement, énergies, propreté/énergies"
231,,mastère spé.,mastère spécialisé,mastère spé. génie civil européen,,1 an,bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1419,"construction, architecture, travaux publics/génie civil, construction (généralités)"
120,,DU,diplôme d'université,DU DESU droit du sport,,1 an,bac + 5,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1593,"économie, droit, politique/droit (généralités) | santé, social, sport/sport"
312,16X31249,,formation d'école spécialisée,manager du développement commercial (EMD),,2 ans,bac + 5,36607,1,niveau 7,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.8154,"gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente"
335,46133501,CS (ex MC),certificat de spécialisation (ex MC),CS (ex MC) animation-gestion de projets dans le secteur sportif,AG2S,1 an,bac + 1,40011,4,niveau 4,Ministère chargé de l'Éducation nationale,https://www.onisep.fr/http/redirection/formation/slug/FOR.1466,"santé, social, sport/sport"
